column 1	column 2	column 3	Product	GO terms (biological process)
hisQ	-1.8689175341247	0.000574971758557024	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisQ	amino acid import across plasma membrane // transmembrane transport // amino acid transport // L-arginine import across plasma membrane // L-lysine import across plasma membrane // L-ornithine import across plasma membrane // L-histidine import across plasma membrane // L-histidine transmembrane transport
gltF	-1.86374928131787	0.000637663750399153	periplasmic protein GltF	
yebQ	-1.86127892031725	0.00855805174330685	putative transporter YebQ	transmembrane transport
ydeA	-1.83349525731418	0.0159767885693331	putative exporter YdeA	carbohydrate transmembrane transport // transmembrane transport // carbohydrate transport
metY	-1.8295501943841	0.000724612210691101	tRNA-initiator Met(CAU)	
gltD	-1.82891013475444	0.000805115784323995	glutamate synthase subunit GltD	small molecule metabolic process // amino acid biosynthetic process // ammonia assimilation cycle // L-glutamate biosynthetic process // glutamate biosynthetic process
artI	-1.80993207242744	0.000442567737166017	putative ABC transporter periplasmic binding protein ArtI	monoatomic ion transmembrane transport // L-arginine import across plasma membrane // amino acid transport
argH	-1.80580298441057	0.000619462968330539	argininosuccinate lyase	amino acid biosynthetic process // L-arginine biosynthetic process via ornithine // L-arginine biosynthetic process
infB	-1.80250587926576	0.000681552437779332	translation initiation factor IF-2&beta;' // translation initiation factor IF-2&beta; // translation initiation factor IF-2	protein folding // response to cold // translation // translational initiation
pnp	-1.80102932178869	0.00086271176510573	polynucleotide phosphorylase	RNA catabolic process // mRNA catabolic process // RNA processing // response to heat
hisM	-1.79446276892993	0.0010043198702866	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM	amino acid import across plasma membrane // transmembrane transport // amino acid transport // L-lysine import across plasma membrane // L-arginine import across plasma membrane // L-ornithine import across plasma membrane // L-histidine transmembrane transport // L-histidine import across plasma membrane
argA	-1.76749955278332	0.000890285971664441	N-acetylglutamate synthase	amino acid biosynthetic process // L-arginine biosynthetic process
